"Scheduling Policy","Workload","Total Sent","sla+ Requests","sla- Requests","sla+ time","sla- time","Average CPU req time","Average GPU req time","End time","CPU total energy","GPU total energy","CPU Energy Improvement","GPU Energy Improvement"
"LockStep","PUUniform","2000","1776","224","338792.6165540541","2287375.4241071427","59373.52337398374","1039019.9163385826","3513726","5498103.807999586","849827.7399999977","0.0","0.0"
"LockStep","RandomWork","2000","1836","164","229958.54847494554","1941881.0914634147","2549.0748031496064","750083.8760162601","2672239","3524994.655680006","598074.9397529999","0.0","0.0"
"LockStep","GPUHeavy","2000","1362","638","515816.22320117475","2369019.749216301","53517.133771929824","1418116.893134715","4467588","6883549.183999504","1367712.3379999949","0.0","0.0"
"LockStep","CPUHeavy","2000","1928","72","177085.21939834024","1791946.263888889","66910.63220675944","752489.3890020367","2472549","3910551.744000111","381424.4139999994","0.0","0.0"

"NaiveIndependent","PUUniform","2000","1773","227","386945.7213761985","2315831.039647577","113592.6656504065","1082650.813976378","3539658","4259655.167999797","847311.0499999976","29.073917750514223","0.2970207930133884"
"NaiveIndependent","RandomWork","2000","1849","151","269003.9626825311","1992018.5761589403","32252.345472440946","777860.5172764228","2710521","3125336.292288004","612609.3542240009","12.787691499893569","-2.3725420401736956"
"NaiveIndependent","GPUHeavy","2000","1366","634","575248.6178623718","2370603.269716088","130604.00438596492","1443780.2195595854","4473144","4901266.943999609","1367460.6689999946","40.44428231820162","0.01840411250615854"
"NaiveIndependent","CPUHeavy","2000","1904","96","197752.99212184874","1873102.8541666667","82763.77534791252","878714.9368635438","2626941","3593896.127999949","354747.5","8.810928438724384","7.519972374717061"

"GPUIndependentCPUCoupled","PUUniform","2000","1774","226","345713.7626832018","2309006.681415929","55779.76829268293","1063232.7096456692","3540894","5503212.543999586","846807.7119999976","-0.09283188608753257","0.35663680871154585"
"GPUIndependentCPUCoupled","RandomWork","2000","1845","155","240399.335501355","1959792.864516129","2905.3248031496064","756456.156504065","2712596","3566149.5740800076","604077.4640759995","-1.1540435291646123","-0.9936679780267953"
"GPUIndependentCPUCoupled","GPUHeavy","2000","1363","637","518985.3440939105","2377184.956043956","52153.54605263158","1423485.6373056995","4473762","6887421.439999505","1367208.9999999949","-0.05622214400170729","0.03681500048639167"
"GPUIndependentCPUCoupled","CPUHeavy","2000","1904","96","178328.1118697479","1855402.5208333333","60140.03777335984","869458.3503054989","2626941","3922174.6560001085","354747.5","-0.2963384606602629","7.519972374717061"

"ExitTimeResponsive","PUUniform","2000","1773","227","386945.7213761985","2315831.039647577","113592.6656504065","1082650.813976378","3539658","4259655.167999797","847311.0499999976","29.073917750514223","0.2970207930133884"
"ExitTimeResponsive","RandomWork","2000","1309","691","183821.53934300994","3167684.7539797397","16791.77657480315","2451658.6534552844","4700151","3051506.118528001","570641.2708600005","15.516552114285401","4.807515736051609"
"ExitTimeResponsive","GPUHeavy","2000","1050","950","382231.43904761906","2905107.110526316","152933.75438596492","2002238.9727979274","4142682","4901266.943999609","1445729.7279999931","40.44428231820162","-5.396402141355057"
"ExitTimeResponsive","CPUHeavy","2000","2000","0","146764.507","0.0","104146.10337972167","277744.48879837064","911235","3630232.767999994","478316.9789999977","7.721790692626934","-20.256977956870475"

